"Anio","ID region","Region","Provincia","Comuna","Número explotación","Número bloque","Tipo productor","Especie","Variedad","Anio plantacion","Metodo de riego","Numero de arboles","Superficie (ha)"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","4728","4","Hombre","Limonero","Genova","2000","Goteo","200","0,24"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8493","6","Hombre","Limonero","Genova","2011","Goteo","143","0,25"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","19701","2","Hombre","Limonero","Genova","2013","Goteo","167","0,25"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","19389","2","Hombre","Limonero","Genova","2023","Goteo","180","0,27"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","20079","5","Hombre","Limonero","Genova","2010","Goteo","225","0,27"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","7841","4","Hombre","Limonero","Genova","2023","Goteo","270","0,27"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6501","3","Hombre","Limonero","Genova","1998","Goteo","100","0,30"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7616","2","Hombre","Limonero","Genova","2022","Goteo","400","0,32"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7620","5","Empresa","Limonero","Genova","1995","Goteo","185","0,33"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8263","2","Empresa","Nogal","Chandler","2015","Goteo","114","0,40"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","4112","5","Empresa","Nogal","Chandler","2011","Goteo","167","0,40"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","10947","3","Hombre","Nogal","Chandler","2011","Goteo","93","0,41"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6519","3","Empresa","Nogal","Chandler","2024","Goteo","118","0,42"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","20478","1","Empresa","Nogal","Chandler","2019","Goteo","120","0,42"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","10635","5","Empresa","Nogal","Chandler","2009","Goteo","280","0,42"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","19281","5","Empresa","Nogal","Chandler","2014","Goteo","107","0,45"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","291","4","Empresa","Nogal","Chandler","2005","Goteo","225","0,45"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","11465","3","Empresa","Nogal","Chandler","2008","Goteo","111","0,47"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","13244","3","Empresa","Nogal","Chandler","2014","Goteo","157","0,47"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","291","1","Empresa","Nogal","Chandler","2005","Goteo","200","0,48"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","464","7","Empresa","Nogal","Chandler","2021","Goteo","200","0,48"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","99","1","Empresa","Nogal","Chandler","2000","Goteo","63","0,50"
"2025","13","Región Metropolitana de Santiago","Maipo","San Bernardo","13607","3","Empresa","Nogal","Chandler","2010","Goteo","104","0,50"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","12332","3","Hombre","Nogal","Chandler","2015","Goteo","119","0,50"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","13117","1","Hombre","Nogal","Chandler","2020","Goteo","119","0,50"
"2025","13","Región Metropolitana de Santiago","Talagante","Padre Hurtado","19551","2","Empresa","Nogal","Chandler","2020","Goteo","167","0,50"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","726","1","Empresa","Nogal","Chandler","2015","Goteo","208","0,50"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","726","3","Empresa","Nogal","Chandler","2020","Goteo","229","0,55"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","19022","3","Hombre","Nogal","Chandler","2012","Goteo","134","0,56"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","20146","4","Hombre","Nogal","Chandler","2018","Goteo","160","0,56"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","291","7","Empresa","Nogal","Chandler","2001","Goteo","116","0,57"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","3308","15","Empresa","Nogal","Chandler","2011","Goteo","163","0,57"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6519","2","Empresa","Nogal","Chandler","2024","Goteo","146","0,58"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","11469","1","Hombre","Nogal","Chandler","2018","Goteo","140","0,59"
"2025","13","Región Metropolitana de Santiago","Chacabuco","Colina","11364","1","Empresa","Nogal","Chandler","2012","Goteo","169","0,59"
"2025","13","Región Metropolitana de Santiago","Cordillera","San Jose Maipo","12356","1","Hombre","Nogal","Chandler","2010","Goteo","122","0,60"
"2025","13","Región Metropolitana de Santiago","Maipo","San Bernardo","13607","4","Empresa","Nogal","Chandler","2010","Goteo","125","0,60"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6519","6","Empresa","Nogal","Chandler","2018","Goteo","125","0,60"
"2025","13","Región Metropolitana de Santiago","Cordillera","Pirque","476","3","Hombre","Nogal","Chandler","2012","Goteo","143","0,60"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19454","1","Empresa","Nogal","Chandler","2012","Goteo","171","0,60"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","12332","5","Hombre","Nogal","Chandler","2014","Goteo","214","0,60"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","12332","6","Hombre","Nogal","Chandler","2020","Goteo","250","0,60"
"2025","13","Región Metropolitana de Santiago","Maipo","San Bernardo","2108","3","Empresa","Nogal","Chandler","2014","Goteo","334","0,60"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","19022","4","Hombre","Nogal","Chandler","2017","Goteo","150","0,63"
"2025","13","Región Metropolitana de Santiago","Talagante","Peñaflor","11730","14","Empresa","Nogal","Chandler","2017","Goteo","150","0,63"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","1387","1","Empresa","Nogal","Chandler","2013","Goteo","267","0,64"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","3477","4","Hombre","Nogal","Chandler","2012","Goteo","81","0,66"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","1476","9","Empresa","Nogal","Chandler","2014","Goteo","239","0,67"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","20478","3","Empresa","Nogal","Chandler","2019","Goteo","194","0,68"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","427","8","Empresa","Nogal","Chandler","2022","Goteo","125","0,70"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","13247","1","Mujer","Nogal","Chandler","2012","Goteo","142","0,70"
"2025","13","Región Metropolitana de Santiago","Talagante","Peñaflor","20523","5","Empresa","Nogal","Chandler","2008","Goteo","145","0,70"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","798","1","Empresa","Nogal","Chandler","2001","Goteo","146","0,70"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","10352","7","Empresa","Nogal","Chandler","2000","Goteo","152","0,73"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","7950","3","Empresa","Nogal","Chandler","2016","Goteo","296","0,74"
"2025","13","Región Metropolitana de Santiago","Cordillera","San Jose Maipo","12355","3","Hombre","Nogal","Chandler","2010","Goteo","117","0,75"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8493","1","Hombre","Limonero","Genova","2011","Goteo","189","0,33"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","2241","1","Hombre","Limonero","Genova","2002","Goteo","146","0,35"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19447","2","Hombre","Limonero","Genova","2011","Goteo","200","0,36"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7620","21","Empresa","Limonero","Genova","2019","Goteo","401","0,36"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","2174","8","Hombre","Limonero","Genova","2022","Goteo","238","0,38"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","7841","3","Hombre","Limonero","Genova","2018","Goteo","390","0,39"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","5131","1","Empresa","Limonero","Genova","2020","Goteo","180","0,43"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","7841","1","Hombre","Limonero","Genova","2015","Goteo","424","0,53"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19447","1","Hombre","Limonero","Genova","2014","Goteo","450","0,54"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","4728","6","Hombre","Limonero","Genova","2019","Goteo","440","0,55"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","10731","1","Hombre","Limonero","Genova","1995","Goteo","483","0,58"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7620","11","Empresa","Limonero","Genova","2010","Goteo","330","0,59"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","7841","2","Hombre","Limonero","Genova","2015","Goteo","420","0,63"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","2223","1","Hombre","Limonero","Genova","2021","Goteo","420","0,63"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6501","1","Hombre","Limonero","Genova","1998","Goteo","407","0,70"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","21366","1","Hombre","Limonero","Genova","2018","Goteo","913","0,73"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","21730","2","Hombre","Limonero","Genova","2024","Goteo","338","0,74"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","10477","1","Hombre","Limonero","Genova","2018","Goteo","260","0,78"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","3047","9","Hombre","Limonero","Genova","2013","Goteo","533","0,80"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7388","1","Hombre","Limonero","Genova","2020","Goteo","382","0,84"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","3385","31","Hombre","Limonero","Genova","2000","Goteo","310","0,93"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","5131","3","Empresa","Limonero","Genova","2024","Goteo","400","0,96"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7394","3","Hombre","Limonero","Genova","1995","Goteo","417","1,00"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7388","6","Hombre","Limonero","Genova","2023","Goteo","519","1,00"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","10477","4","Hombre","Limonero","Genova","2011","Goteo","667","1,00"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","6823","5","Hombre","Limonero","Genova","2006","Goteo","442","1,06"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","10731","2","Hombre","Limonero","Genova","1995","Goteo","883","1,06"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","6656","1","Hombre","Limonero","Genova","1994","Goteo","387","1,16"
"2025","13","Región Metropolitana de Santiago","Melipilla","Curacaví","5131","5","Empresa","Limonero","Genova","2024","Goteo","500","1,20"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","1466","2","Hombre","Limonero","Genova","2001","Goteo","600","1,20"
